beta,avg_plaq,plaq_var,avg_sus,sus_var
0.419,0.500069,7.06606e-07,0.0167711,7.27436e-08
0.41901,0.50015,7.08459e-07,0.0167914,7.29344e-08
0.41902,0.500232,7.10317e-07,0.0168118,7.31257e-08
0.41903,0.500314,7.12182e-07,0.0168322,7.33173e-08
0.41904,0.500396,7.14051e-07,0.0168526,7.35093e-08
0.41905,0.500478,7.15927e-07,0.016873,7.37017e-08
0.41906,0.50056,7.17808e-07,0.0168935,7.38944e-08
0.41907,0.500642,7.19695e-07,0.0169139,7.40875e-08
0.41908,0.500724,7.21587e-07,0.0169344,7.42809e-08
0.41909,0.500806,7.23485e-07,0.016955,7.44747e-08
0.4191,0.500889,7.25389e-07,0.0169755,7.46689e-08
0.41911,0.500971,7.27299e-07,0.0169961,7.48635e-08
0.41912,0.501054,7.29214e-07,0.0170167,7.50584e-08
0.41913,0.501137,7.31135e-07,0.0170373,7.52537e-08
0.41914,0.50122,7.33062e-07,0.0170579,7.54493e-08
0.41915,0.501303,7.34995e-07,0.0170786,7.56453e-08
0.41916,0.501386,7.36933e-07,0.0170993,7.58417e-08
0.41917,0.501469,7.38877e-07,0.01712,7.60384e-08
0.41918,0.501552,7.40827e-07,0.0171407,7.62355e-08
0.41919,0.501635,7.42783e-07,0.0171615,7.6433e-08
0.4192,0.501719,7.44745e-07,0.0171822,7.66308e-08
0.41921,0.501802,7.46713e-07,0.017203,7.6829e-08
0.41922,0.501886,7.48686e-07,0.0172238,7.70276e-08
0.41923,0.50197,7.50666e-07,0.0172447,7.72265e-08
0.41924,0.502054,7.52651e-07,0.0172656,7.74258e-08
0.41925,0.502138,7.54642e-07,0.0172865,7.76254e-08
0.41926,0.502222,7.56639e-07,0.0173074,7.78254e-08
0.41927,0.502306,7.58642e-07,0.0173283,7.80258e-08
0.41928,0.50239,7.60652e-07,0.0173493,7.82266e-08
0.41929,0.502475,7.62667e-07,0.0173702,7.84277e-08
0.4193,0.502559,7.64688e-07,0.0173913,7.86291e-08
0.41931,0.502644,7.66715e-07,0.0174123,7.8831e-08
0.41932,0.502728,7.68748e-07,0.0174333,7.90331e-08
0.41933,0.502813,7.70787e-07,0.0174544,7.92357e-08
0.41934,0.502898,7.72833e-07,0.0174755,7.94386e-08
0.41935,0.502983,7.74884e-07,0.0174966,7.96419e-08
0.41936,0.503068,7.76941e-07,0.0175178,7.98455e-08
0.41937,0.503153,7.79005e-07,0.0175389,8.00495e-08
0.41938,0.503238,7.81075e-07,0.0175601,8.02539e-08
0.41939,0.503324,7.8315e-07,0.0175813,8.04586e-08
0.4194,0.503409,7.85232e-07,0.0176026,8.06637e-08
0.41941,0.503495,7.87321e-07,0.0176238,8.08691e-08
