Beta,Avg Plaq,Plaq Sus,Jacknif Action Var,Jacknife Sus Var ,tau
0.42,0.453172,0.000972268,1.03842e-07,1.78036e-10,1
0.422,0.458034,0.00102974,4.70095e-08,8.40832e-11,5
0.424,0.462538,0.00111059,7.81225e-08,1.58926e-10,3
0.426,0.46551,0.00111854,1.05663e-07,1.85582e-10,2
0.428,0.470537,0.00121246,2.13417e-07,6.48487e-10,1
0.43,0.475058,0.00128594,1.57956e-07,6.10831e-10,1
0.432,0.493221,0.00658871,8.18884e-05,1.17984e-05,1
0.434,0.51973,0.0150337,0.000246911,2.87958e-05,1
0.436,0.662071,0.0425408,0.000698908,3.17787e-06,1
0.438,0.731201,0.0429373,7.51133e-05,2.991e-07,70
0.44,0.790468,0.0360544,0.000616308,1.80835e-05,1
0.442,0.898918,0.00783332,0.000106094,1.53233e-05,1
0.444,0.904308,0.00746658,0.000101864,1.47357e-05,1
0.446,0.923589,0.00126695,6.95643e-07,7.24076e-08,3
0.448,0.927663,0.000877323,3.42898e-08,1.17857e-10,6
