Beta,Avg Plaq,Plaq Sus,Jacknif Action Var,Jacknife Sus Var ,binder cum,Jacknife Binder cum,tau
0.435,0.48527,0.000564497,1.67706e-08,1.80586e-11,-0.0840432,0.000182004,1
0.4355,0.486994,0.000573173,2.68523e-08,2.23911e-11,-0.0896399,0.000494508,1
0.436,0.487583,0.000570212,2.89326e-08,1.82404e-11,-0.0645254,0.000148871,1
0.4365,0.489447,0.000601788,1.20178e-08,1.25414e-11,-0.141658,0.000431928,2
0.437,0.490534,0.000597975,2.06663e-08,2.44651e-11,-0.0886201,0.000110571,1
0.4375,0.491528,0.0006112,2.3335e-08,3.60016e-11,-0.11426,0.000534271,1
0.438,0.49294,0.000625133,2.27001e-08,3.17619e-11,-0.183035,0.00372375,1
0.4385,0.494128,0.00062856,3.1219e-08,3.02714e-11,-0.0919651,0.000158524,1
0.439,0.495427,0.000646303,4.10784e-08,6.42346e-11,-0.1936,0.00388961,1
0.4395,0.911376,0.000551881,2.50774e-08,6.46523e-11,-0.383006,0.00470322,1
0.44,0.912295,0.000533301,1.97176e-08,2.59549e-11,-0.343709,0.002761,1
0.4405,0.913701,0.000519184,1.55356e-08,2.60108e-11,-0.294389,0.00120143,1
0.441,0.914527,0.000504519,1.59163e-08,1.65319e-11,-0.284656,0.000669773,1
0.4415,0.915742,0.000481015,6.07645e-09,7.22478e-12,-0.270787,0.000426781,6
0.442,0.916755,0.00047261,7.51477e-09,7.97619e-12,-0.245968,0.000269971,5
0.4425,0.917972,0.000464788,1.66111e-08,1.6272e-11,-0.282042,0.000922248,1
0.443,0.9188,0.000449781,8.52651e-09,1.21746e-11,-0.222714,0.000461812,1
0.4435,0.919788,0.000440369,9.81475e-09,1.19853e-11,-0.229202,0.000313313,1
0.444,0.920875,0.000427303,3.86626e-09,6.08704e-12,-0.222712,0.000190767,8
0.4445,0.92176,0.000417495,7.99145e-09,1.1241e-11,-0.268568,0.00081952,1
