beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.43475,0.484742,1.64213e-08,0.000560749,1.68466e-11,-0.0887769,0.000164163
0.43476,0.484763,1.64346e-08,0.000560898,1.68927e-11,-0.0888694,0.000164841
0.43477,0.484784,1.64479e-08,0.000561046,1.6939e-11,-0.0889621,0.000165521
0.43478,0.484805,1.64613e-08,0.000561195,1.69855e-11,-0.089055,0.000166204
0.43479,0.484826,1.64748e-08,0.000561344,1.70322e-11,-0.0891481,0.000166891
0.4348,0.484847,1.64883e-08,0.000561493,1.70791e-11,-0.0892413,0.00016758
0.43481,0.484868,1.65019e-08,0.000561642,1.71261e-11,-0.0893347,0.000168272
0.43482,0.484889,1.65155e-08,0.000561791,1.71734e-11,-0.0894282,0.000168967
0.43483,0.484911,1.65292e-08,0.00056194,1.72209e-11,-0.0895219,0.000169666
0.43484,0.484932,1.65429e-08,0.00056209,1.72685e-11,-0.0896158,0.000170367
0.43485,0.484953,1.65567e-08,0.000562239,1.73164e-11,-0.0897099,0.000171071
0.43486,0.484974,1.65706e-08,0.000562389,1.73644e-11,-0.0898041,0.000171778
0.43487,0.484995,1.65845e-08,0.000562539,1.74127e-11,-0.0898985,0.000172489
0.43488,0.485016,1.65985e-08,0.000562689,1.74612e-11,-0.089993,0.000173202
0.43489,0.485037,1.66125e-08,0.000562839,1.75098e-11,-0.0900878,0.000173918
0.4349,0.485058,1.66266e-08,0.000562989,1.75587e-11,-0.0901827,0.000174638
0.43491,0.485079,1.66407e-08,0.000563139,1.76078e-11,-0.0902778,0.00017536
0.43492,0.4851,1.66549e-08,0.000563289,1.7657e-11,-0.090373,0.000176086
0.43493,0.485122,1.66692e-08,0.00056344,1.77065e-11,-0.0904684,0.000176815
0.43494,0.485143,1.66835e-08,0.00056359,1.77562e-11,-0.090564,0.000177547
0.43495,0.485164,1.66979e-08,0.000563741,1.78061e-11,-0.0906598,0.000178282
0.43496,0.485185,1.67123e-08,0.000563892,1.78562e-11,-0.0907557,0.00017902
0.43497,0.485206,1.67268e-08,0.000564043,1.79065e-11,-0.0908518,0.000179761
0.43498,0.485227,1.67413e-08,0.000564194,1.7957e-11,-0.0909481,0.000180505
0.43499,0.485248,1.6756e-08,0.000564345,1.80077e-11,-0.0910446,0.000181253
0.435,0.48527,1.67706e-08,0.000564497,1.80586e-11,-0.0911412,0.000182004
0.43501,0.485291,1.67854e-08,0.000564648,1.81098e-11,-0.091238,0.000182758
0.43502,0.485312,1.68002e-08,0.0005648,1.81612e-11,-0.091335,0.000183515
0.43503,0.485333,1.6815e-08,0.000564951,1.82127e-11,-0.0914321,0.000184275
0.43504,0.485354,1.68299e-08,0.000565103,1.82645e-11,-0.0915294,0.000185039
0.43505,0.485375,1.68449e-08,0.000565255,1.83165e-11,-0.0916269,0.000185806
0.43506,0.485397,1.68599e-08,0.000565407,1.83687e-11,-0.0917246,0.000186576
0.43507,0.485418,1.6875e-08,0.000565559,1.84212e-11,-0.0918225,0.000187349
0.43508,0.485439,1.68902e-08,0.000565712,1.84738e-11,-0.0919205,0.000188126
0.43509,0.48546,1.69054e-08,0.000565864,1.85267e-11,-0.0920187,0.000188906
0.4351,0.485482,1.69207e-08,0.000566017,1.85798e-11,-0.0921171,0.000189689
0.43511,0.485503,1.6936e-08,0.000566169,1.86331e-11,-0.0922157,0.000190476
0.43512,0.485524,1.69514e-08,0.000566322,1.86866e-11,-0.0923144,0.000191266
0.43513,0.485545,1.69669e-08,0.000566475,1.87404e-11,-0.0924133,0.000192059
0.43514,0.485566,1.69824e-08,0.000566628,1.87943e-11,-0.0925124,0.000192855
0.43515,0.485588,1.6998e-08,0.000566781,1.88485e-11,-0.0926117,0.000193655
0.43516,0.485609,1.70136e-08,0.000566935,1.8903e-11,-0.0927111,0.000194459
0.43517,0.48563,1.70293e-08,0.000567088,1.89576e-11,-0.0928108,0.000195265
0.43518,0.485652,1.70451e-08,0.000567242,1.90125e-11,-0.0929106,0.000196075
0.43519,0.485673,1.7061e-08,0.000567395,1.90676e-11,-0.0930106,0.000196889
0.4352,0.485694,1.70769e-08,0.000567549,1.91229e-11,-0.0931107,0.000197705
0.43521,0.485715,1.70928e-08,0.000567703,1.91785e-11,-0.0932111,0.000198526
0.43522,0.485737,1.71089e-08,0.000567857,1.92343e-11,-0.0933116,0.000199349
0.43523,0.485758,1.7125e-08,0.000568011,1.92903e-11,-0.0934124,0.000200177
0.43524,0.485779,1.71411e-08,0.000568166,1.93466e-11,-0.0935133,0.000201007
0.43525,0.486458,2.66437e-08,0.000569125,2.07003e-11,-0.0985107,0.00043632
0.43526,0.48648,2.66514e-08,0.000569286,2.07632e-11,-0.0986416,0.000438547
0.43527,0.486501,2.66591e-08,0.000569446,2.08264e-11,-0.0987729,0.000440783
0.43528,0.486522,2.66669e-08,0.000569607,2.089e-11,-0.0989045,0.000443028
0.43529,0.486544,2.66747e-08,0.000569767,2.0954e-11,-0.0990365,0.00044528
0.4353,0.486565,2.66826e-08,0.000569928,2.10184e-11,-0.0991688,0.000447541
0.43531,0.486586,2.66905e-08,0.000570089,2.10831e-11,-0.0993015,0.000449811
0.43532,0.486608,2.66985e-08,0.00057025,2.11483e-11,-0.0994346,0.000452089
0.43533,0.486629,2.67066e-08,0.000570411,2.12138e-11,-0.0995679,0.000454375
0.43534,0.486651,2.67147e-08,0.000570573,2.12798e-11,-0.0997017,0.000456669
0.43535,0.486672,2.67228e-08,0.000570734,2.13461e-11,-0.0998358,0.000458972
0.43536,0.486693,2.67311e-08,0.000570896,2.14129e-11,-0.0999702,0.000461284
0.43537,0.486715,2.67394e-08,0.000571058,2.148e-11,-0.100105,0.000463603
0.43538,0.486736,2.67477e-08,0.00057122,2.15476e-11,-0.10024,0.000465931
0.43539,0.486758,2.67561e-08,0.000571382,2.16156e-11,-0.100376,0.000468267
0.4354,0.486779,2.67645e-08,0.000571544,2.16839e-11,-0.100512,0.000470611
