beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.43895,0.663161,0.00084518,0.0419789,5.26578e-06,0.600099,2.09958e-06
0.43896,0.664738,0.000845102,0.0420985,4.85871e-06,0.604035,1.87574e-06
0.43897,0.666318,0.000845023,0.0422137,4.46697e-06,0.607802,1.67407e-06
0.43898,0.667904,0.000844944,0.0423243,4.09073e-06,0.611402,1.49252e-06
0.43899,0.669493,0.000844865,0.0424303,3.73016e-06,0.614834,1.32919e-06
0.439,0.671086,0.000844785,0.0425316,3.38542e-06,0.6181,1.18232e-06
0.43901,0.672683,0.000844705,0.0426282,3.05668e-06,0.6212,1.05032e-06
0.43902,0.674283,0.000844625,0.04272,2.74406e-06,0.624135,9.31718e-07
0.43903,0.675886,0.000844544,0.042807,2.44773e-06,0.626906,8.25185e-07
0.43904,0.677493,0.000844463,0.0428892,2.16781e-06,0.629513,7.29502e-07
0.43905,0.689792,0.000854656,0.0433436,5.87543e-07,0.644137,2.66348e-07
0.43906,0.691418,0.000854446,0.0433824,4.52541e-07,0.645345,2.25547e-07
0.43907,0.693045,0.000854236,0.043416,3.35095e-07,0.646393,1.89469e-07
0.43908,0.694674,0.000854025,0.0434446,2.35249e-07,0.647282,1.57586e-07
0.43909,0.696304,0.000853814,0.0434679,1.53036e-07,0.648012,1.29455e-07
0.4391,0.697934,0.000853603,0.0434861,8.84834e-08,0.648583,1.04708e-07
0.43911,0.699565,0.00085339,0.0434991,4.16074e-08,0.648994,8.30512e-08
0.43912,0.701196,0.000853178,0.043507,1.24171e-08,0.649247,6.42532e-08
0.43913,0.702828,0.000852964,0.0435096,9.12478e-10,0.649341,4.81446e-08
0.43914,0.70446,0.000852751,0.0435071,7.08507e-09,0.649276,3.46113e-08
0.43915,0.796095,0.000649248,0.0348721,2.24553e-05,0.319447,0.000101213
0.43916,0.797398,0.000649096,0.0346315,2.30729e-05,0.307977,0.000109715
0.43917,0.798692,0.000648944,0.0343894,2.36943e-05,0.296272,0.000118833
0.43918,0.799977,0.000648791,0.0341457,2.43192e-05,0.284332,0.000128607
0.43919,0.801253,0.000648638,0.0339007,2.49474e-05,0.272152,0.000139077
0.4392,0.80252,0.000648484,0.0336544,2.55787e-05,0.259731,0.000150287
0.43921,0.803777,0.000648329,0.0334068,2.62129e-05,0.247066,0.000162282
0.43922,0.805025,0.000648174,0.033158,2.68498e-05,0.234154,0.00017511
0.43923,0.806264,0.000648018,0.0329082,2.74891e-05,0.220992,0.000188823
0.43924,0.807493,0.000647862,0.0326573,2.81307e-05,0.207577,0.000203474
0.43925,0.496282,2.49185e-09,0.000647897,5.5205e-12,-0.159533,0.000138709
0.43926,0.496307,2.49758e-09,0.000648137,5.54426e-12,-0.159767,0.000139671
0.43927,0.496331,2.50333e-09,0.000648377,5.56817e-12,-0.160001,0.000140639
0.43928,0.496355,2.50911e-09,0.000648617,5.59222e-12,-0.160236,0.000141614
0.43929,0.49638,2.51492e-09,0.000648858,5.61642e-12,-0.160472,0.000142596
0.4393,0.496404,2.52076e-09,0.000649099,5.64078e-12,-0.160708,0.000143584
0.43931,0.496428,2.52663e-09,0.000649341,5.66529e-12,-0.160945,0.00014458
0.43932,0.496453,2.53252e-09,0.000649582,5.68995e-12,-0.161182,0.000145582
0.43933,0.496477,2.53844e-09,0.000649824,5.71476e-12,-0.16142,0.000146591
0.43934,0.496501,2.54439e-09,0.000650067,5.73973e-12,-0.161659,0.000147608
